Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
24,,1.00,Default,0.00,Neyber Loan,231.51,Non Default,28223,Police Mutual,Good,0,0,9.90,Repaid,2018-10-04,0,0.00,Debt Consolidation,0,0,, ,,3000.00,"3,000",137.71,385,Closed,,57,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1586.11,Non Default,27022,Police Mutual,Good,0,0,9.90,Repaid,2018-08-07,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",314.86,370,Closed,,59,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,789.66,Non Default,30713,Police Mutual,Great,0,0,4.90,Repaid,2019-02-08,0,0.00,Home Improvements,0,0,, ,,13000.00,"13,000",297.69,457,Closed,,53,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,378.18,Non Default,23521,Police Mutual,Great,0,0,4.90,Repaid,2018-03-08,0,0.00,Debt Consolidation,0,0,, ,,5000.00,"5,000",149.39,452,Closed,,64,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,1142.92,Non Default,30533,Police Mutual,Good,0,0,9.90,Repaid,2019-01-31,0,0.00,Debt Consolidation,0,0,,Cleared Arrears ,,12000.00,"12,000",550.85,378,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1495.41,Non Default,28227,Police Mutual,OK,2,0,14.90,Repaid,2018-10-03,0,0.00,Debt Consolidation,0,1,2019-02-02,Cleared Arrears ,,7000.00,"7,000",162.77,236,Closed,2020-04-02,57,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,634.52,Non Default,11976,Police Mutual,Great,0,0,4.90,Repaid,2017-11-24,0,0.00,Car purchase,0,0,, ,,7000.00,"7,000",131.44,479,Closed,,68,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,1650.24,Non Default,6783,Police Mutual,Good,0,0,9.90,Repaid,2017-05-22,0,0.00,Debt Consolidation,0,0,, ,,10800.00,"10,800",345.84,357,Closed,,74,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,522.99,Non Default,30152,Police Mutual,Great,0,0,4.90,Repaid,2019-01-11,0,0.00,Debt Consolidation,0,0,, ,,11200.00,"11,200",334.64,530,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,3153.18,1.00,Default,2748.46,Neyber Loan,2893.08,Default,28660,Police Mutual,Good,4,11,9.90,Active,2018-10-29,0,2748.33,Debt Consolidation,0,1,2022-09-26,Long Term Financial Difficulty - Debt Management Plan - Confirmed,2023-02-23,9251.67,"12,000",251.89,380,Default,2022-11-26,57,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,1872.75,Non Default,11394,Police Mutual,Good,0,0,9.90,Repaid,2017-09-20,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",480.34,395,Closed,,70,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,485.16,Non Default,26948,Police Mutual,Good,0,0,9.90,Repaid,2018-08-02,0,0.00,Debt Consolidation,0,0,, ,,2500.00,"2,500",62.78,387,Closed,,59,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1457.84,Non Default,27918,Police Mutual,Good,0,0,9.90,Repaid,2018-09-18,0,0.00,Debt Consolidation,0,0,, ,,10000.00,"10,000",209.91,354,Closed,,58,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2195.03,Non Default,32217,Police Mutual,Great,0,0,8.90,Repaid,2019-04-17,0,0.00,Car purchase,0,0,, ,,17000.00,"17,000",348.01,485,Closed,,51,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,369.97,Non Default,33773,Police Mutual,OK,0,0,18.90,Repaid,2019-07-12,0,0.00,Wedding loan,0,0,, ,,2000.00,"2,000",98.74,338,Closed,,48,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1070.88,Non Default,12828,Police Mutual,OK,0,0,14.90,Repaid,2018-01-09,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",348.79,334,Closed,,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1278.62,Non Default,12369,Police Mutual,Great,0,0,4.90,Repaid,2018-01-02,0,0.00,Home Improvements,0,0,, ,,11500.00,"11,500",215.93,478,Closed,,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
